id,cluster,voltage_ab,voltage_bc,voltage_ca,current_ab,current_bc,current_ca, real_power_ab, real_power_bc, real_power_ca,apparent_power_ab,apparent_power_bc,apparent_power_ca,reactive_power_ab,reactive_power_bc,reactive_power_ca,frequency,power_factor,real_power,apparent_power,accumulate_consumption,duration_consumption,inserted_at
133,1,220.02,218.68,219.89,60,55,55,3,2.5,4,13,12.5,12,-13,-12,-11.5,60,-0.277,10.5,38,8485,2,5/10/2017 3:15
134,2,219.81,218.44,219.66,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.96,8.96,-8.32,-8.32,-8.96,60,-0.257,7.04,27.52,12048.6,1.28,5/10/2017 3:15
135,3,109.82,109.2,109.87,42,38,36,0.8,1,0.8,4.6,4.2,4,-4.4,-4.2,-4,60,-0.211,2.6,13,2217,0.4,5/10/2017 3:15
136,1,219.67,218.49,219.67,60,55,55,3.5,3,4.5,13.5,12.5,12,-13,-12,-11,60,-0.304,11.5,38,8489,4,5/10/2017 3:30
137,2,219.85,218.64,219.75,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.96,8.96,-8.96,-8.32,-8.96,60,-0.247,6.4,27.52,12050.6,1.92,5/10/2017 3:30
138,3,110.02,109.42,110.03,42,40,36,0.6,0.8,0.4,4.6,4.2,4,-4.6,-4.2,-4,60,-0.165,2,13,2217.8,0.8,5/10/2017 3:30
139,1,219.67,218.61,219.64,60,55,60,3,3,8,13,12.5,14,-13,-12,-11,60,-0.383,15,39,8491,2,5/10/2017 3:45
140,2,219.77,218.56,219.65,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.96,8.96,-8.96,-8.32,-8.96,60,-0.255,7.04,27.52,12051.8,1.28,5/10/2017 3:45
141,3,109.87,109.35,109.89,42,40,38,0.6,1,1,4.6,4.2,4,-4.6,-4.2,-4,60,-0.227,3,13,2218.4,0.6,5/10/2017 3:45
142,1,220.89,219.67,220.81,60,55,55,3.5,3.5,4,13.5,12.5,12,-13,-12,-11,60,-0.304,11.5,38,8495.5,4.5,5/10/2017 4:00
143,2,220.9,219.6,220.83,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.96,8.96,-8.32,-8.32,-8.96,60,-0.25,6.4,27.52,12054.4,2.56,5/10/2017 4:00
